/ÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEJÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE^,ÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE⁄ÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEÆÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEpÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE^ÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE[ÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE,ÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEGÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEÃÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEﬁ,xÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE¿ÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEW,yÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE¿ÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEW,ÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEXÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEsÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE[ÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEh,ÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE≠ÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEÀÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE‘,ÅEEEEEEEEEEEEEEEEeÅEEEEEEEEEEEEEEEEÅEEEEEEEEEEEEEEEEÅEEEEEEEEEEEEEEEEÅEEEEEEEEEEEEEEEE,ÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEeÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEÃÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEF,ÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEÃÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEÕ,ÅEEEEEEEEEEEEEEEEeÅEEEEEEEEEEEEEEEEÅEEEEEEEEEEEEEEEEÅEEEEEEEEEEEEEEEEﬁ,ÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE“ÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE@ÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE‘,ÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEAÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEECÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEeÅEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEÄ1,2,3,4,5,6
/cnt,pattern,knd,x,y,sp,bltime,blknd,col,hp,blknd2,wait,item_n,,,,,
600020,0,0,200,20,0,15,0,3,650,3,0,1,-1,-1,-1,-1,-1
600060,1,0,900,20,0,15,0,3,650,3,0,1,-1,-1,-1,-1,-1
600140,0,0,250,20,0,15,0,5,650,3,0,1,-1,-1,-1,-1,-1
600180,1,0,850,20,0,15,0,5,650,3,0,1,-1,-1,-1,-1,-1
600260,0,0,300,20,0,15,0,1,650,3,0,1,-1,-1,-1,-1,-1
600300,1,0,800,20,0,15,0,1,650,3,0,1,-1,-1,-1,-1,-1
600380,0,0,350,20,0,15,0,4,650,3,0,1,-1,-1,-1,-1,-1
600420,1,0,750,20,0,15,0,4,650,3,0,1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,
600900,4,0,200,20,0,15,1,2,850,1,0,1,-1,-1,-1,-1,-1
600950,4,0,200,20,0,15,1,3,850,1,0,1,-1,-1,-1,-1,-1
601000,4,0,200,20,0,15,1,1,850,1,0,1,-1,-1,-1,-1,-1
601050,4,0,200,20,0,15,1,4,850,1,0,1,-1,-1,-1,-1,-1
601100,4,0,200,20,0,15,1,2,850,1,0,1,-1,-1,-1,-1,-1
,,,,,,,,,850,,,,,,,,
601400,5,0,200,20,0,15,1,5,850,1,0,1,-1,-1,-1,-1,-1
601450,5,0,200,20,0,15,1,2,850,1,0,1,-1,-1,-1,-1,-1
601500,5,0,200,20,0,15,1,6,850,1,0,1,-1,-1,-1,-1,-1
601550,5,0,200,20,0,15,1,2,850,1,0,1,-1,-1,-1,-1,-1
601600,5,0,200,20,0,15,1,7,850,1,0,1,-1,-1,-1,-1,-1
,,,,,,,,,850,,,,,,,,
601900,4,0,200,20,0,15,1,2,850,1,0,1,-1,-1,-1,-1,-1
601950,4,0,200,20,0,15,1,3,850,1,0,1,-1,-1,-1,-1,-1
602000,4,0,200,20,0,15,1,1,850,1,0,1,-1,-1,-1,-1,-1
602050,4,0,200,20,0,15,1,4,850,1,0,1,-1,-1,-1,-1,-1
602100,4,0,200,20,0,15,1,2,850,1,0,1,-1,-1,-1,-1,-1
,,,,,,,,,850,,,,,,,,
601900,5,0,200,20,0,15,1,5,850,1,0,1,-1,-1,-1,-1,-1
601950,5,0,200,20,0,15,1,2,850,1,0,1,-1,-1,-1,-1,-1
602000,5,0,200,20,0,15,1,6,850,1,0,1,-1,-1,-1,-1,-1
602050,5,0,200,20,0,15,1,2,850,1,0,1,-1,-1,-1,-1,-1
602100,5,0,200,20,0,15,1,7,850,1,0,1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,
602800,0,0,200,20,0,15,2,1,650,5,0,1,-1,-1,-1,-1,-1
602880,0,0,900,20,0,15,2,3,650,5,0,1,-1,-1,-1,-1,-1
602960,0,0,250,20,0,15,2,5,650,5,0,1,-1,-1,-1,-1,-1
603040,0,0,850,20,0,15,2,7,650,5,0,1,-1,-1,-1,-1,-1
603120,0,0,300,20,0,15,2,2,650,5,0,1,-1,-1,-1,-1,-1
603200,0,0,800,20,0,15,2,4,650,5,0,1,-1,-1,-1,-1,-1
603280,0,0,350,20,0,15,2,5,650,5,0,1,-1,-1,-1,-1,-1
603360,0,0,750,20,0,15,2,7,650,5,0,1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,
603400,1,0,200,20,0,15,2,1,650,5,0,1,-1,-1,-1,-1,-1
603480,1,0,900,20,0,15,2,3,650,5,0,1,-1,-1,-1,-1,-1
603560,1,0,250,20,0,15,2,5,650,5,0,1,-1,-1,-1,-1,-1
603640,1,0,850,20,0,15,2,7,650,5,0,1,-1,-1,-1,-1,-1
603720,1,0,300,20,0,15,2,2,650,5,0,1,-1,-1,-1,-1,-1
603800,1,0,800,20,0,15,2,4,650,5,0,1,-1,-1,-1,-1,-1
603880,1,0,350,20,0,15,2,5,650,5,0,1,-1,-1,-1,-1,-1
603960,1,0,750,20,0,15,2,7,650,5,0,1,-1,-1,-1,-1,-1
